TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed
1646380231774;1;1;1.0;1;ALL;221;1815376;7.8 MiB/s;
1646380231774;1;1;1.0;1;store;8;420;51.3 KiB/s;
1646380231774;1;1;1.0;1;web_returns;20;43890;2.1 MiB/s;
1646380231774;1;1;1.0;1;web_sales;67;1057780;15.1 MiB/s;
1646380409033;1;1;1.0;1;ALL;189;1815460;9.2 MiB/s;
1646380409033;1;1;1.0;1;store;9;420;45.6 KiB/s;
1646380409033;1;1;1.0;1;web_returns;19;43890;2.2 MiB/s;
1646380409033;1;1;1.0;1;web_sales;68;1057780;14.8 MiB/s;
1646384440829;1;1;1.0;1;ALL;267;2294603;8.2 MiB/s;
1646384440829;1;1;1.0;1;store;8;420;51.3 KiB/s;
1646384440829;1;1;1.0;1;web_returns;41;310606;7.2 MiB/s;
1646384440829;1;1;1.0;1;web_sales;63;1057780;16.0 MiB/s;
1646384853624;1;1;1.0;1;ALL;299;2408960;7.7 MiB/s;
1646384853624;1;1;1.0;1;store;11;494;43.9 KiB/s;
1646384853624;1;1;1.0;1;web_returns;85;425007;4.8 MiB/s;
1646384853624;1;1;1.0;1;web_sales;62;1057780;16.3 MiB/s;
1646388677731;1;1;1.0;1;ALL;384;3011021;7.5 MiB/s;
1646388677731;1;1;1.0;1;store;11;494;43.9 KiB/s;
1646388677731;1;1;1.0;1;store_sales;82;540000;6.3 MiB/s;
1646388677731;1;1;1.0;1;web_returns;69;487016;6.7 MiB/s;
1646388677731;1;1;1.0;1;web_sales;78;1057780;12.9 MiB/s;
1646388897024;1;1;1.0;1;ALL;403;4079590;9.7 MiB/s;
1646388897024;1;1;1.0;1;store;10;494;48.2 KiB/s;
1646388897024;1;1;1.0;1;store_sales;122;1608503;12.6 MiB/s;
1646388897024;1;1;1.0;1;web_returns;68;487016;6.8 MiB/s;
1646388897024;1;1;1.0;1;web_sales;59;1057780;17.1 MiB/s;
1646389040295;1;1;1.0;1;ALL;454;5577768;11.7 MiB/s;
1646389040295;1;1;1.0;1;store;11;494;43.9 KiB/s;
1646389040295;1;1;1.0;1;store_sales;176;3106626;16.8 MiB/s;
1646389040295;1;1;1.0;1;web_returns;59;487016;7.9 MiB/s;
1646389040295;1;1;1.0;1;web_sales;61;1057780;16.5 MiB/s;
1646389425805;1;1;1.0;1;ALL;568;9403525;15.8 MiB/s;
1646389425805;1;1;1.0;1;store;12;494;40.2 KiB/s;
1646389425805;1;1;1.0;1;store_sales;298;6932272;22.2 MiB/s;
1646389425805;1;1;1.0;1;web_returns;57;487016;8.1 MiB/s;
1646389425805;1;1;1.0;1;web_sales;59;1057780;17.1 MiB/s;
1646389847431;1;1;1.0;1;ALL;613;10983087;17.1 MiB/s;
1646389847431;1;1;1.0;1;store;13;494;37.1 KiB/s;
1646389847431;1;1;1.0;1;store_sales;352;8512006;23.1 MiB/s;
1646389847431;1;1;1.0;1;web_returns;56;487016;8.3 MiB/s;
1646389847431;1;1;1.0;1;web_sales;53;1057780;19.0 MiB/s;
1646389999398;1;1;1.0;1;ALL;647;11637155;17.2 MiB/s;
1646389999398;1;1;1.0;1;store;13;494;37.1 KiB/s;
1646389999398;1;1;1.0;1;store_sales;388;9165998;22.5 MiB/s;
1646389999398;1;1;1.0;1;web_returns;56;487016;8.3 MiB/s;
1646389999398;1;1;1.0;1;web_sales;53;1057780;19.0 MiB/s;
1646390156542;1;1;1.0;1;ALL;862;12877314;14.2 MiB/s;
1646390156542;1;1;1.0;1;store;13;494;37.1 KiB/s;
1646390156542;1;1;1.0;1;store_sales;611;10406198;16.2 MiB/s;
1646390156542;1;1;1.0;1;web_returns;49;487016;9.5 MiB/s;
1646390156542;1;1;1.0;1;web_sales;55;1057780;18.3 MiB/s;
1646390405674;1;1;1.0;1;ALL;1831;21239404;11.1 MiB/s;
1646390405674;1;1;1.0;1;store;13;494;37.1 KiB/s;
1646390405674;1;1;1.0;1;store_sales;1585;18768280;11.3 MiB/s;
1646390405674;1;1;1.0;1;web_returns;45;487016;10.3 MiB/s;
1646390405674;1;1;1.0;1;web_sales;53;1057780;19.0 MiB/s;
1646392122870;1;1;1.0;1;ALL;1920;21346348;10.6 MiB/s;
1646392122870;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646392122870;1;1;1.0;1;store_returns;28;106894;3.6 MiB/s;
1646392122870;1;1;1.0;1;store_sales;1629;18768280;11.0 MiB/s;
1646392122870;1;1;1.0;1;web_returns;51;487016;9.1 MiB/s;
1646392122870;1;1;1.0;1;web_sales;55;1057780;18.3 MiB/s;
1646392478292;1;1;1.0;1;ALL;1889;21859072;11.0 MiB/s;
1646392478292;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646392478292;1;1;1.0;1;store_returns;55;619692;10.7 MiB/s;
1646392478292;1;1;1.0;1;store_sales;1590;18768280;11.3 MiB/s;
1646392478292;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646392478292;1;1;1.0;1;web_sales;51;1057780;19.8 MiB/s;
1646392602191;1;1;1.0;1;ALL;1946;23036849;11.3 MiB/s;
1646392602191;1;1;1.0;1;customer;57;1177780;19.7 MiB/s;
1646392602191;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646392602191;1;1;1.0;1;store_returns;55;619692;10.7 MiB/s;
1646392602191;1;1;1.0;1;store_sales;1589;18768280;11.3 MiB/s;
1646392602191;1;1;1.0;1;web_returns;41;487016;11.3 MiB/s;
1646392602191;1;1;1.0;1;web_sales;51;1057780;19.8 MiB/s;
1646396175007;1;1;1.0;1;ALL;2134;28577092;12.8 MiB/s;
1646396175007;1;1;1.0;1;customer;230;6718098;27.9 MiB/s;
1646396175007;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646396175007;1;1;1.0;1;store_returns;55;619692;10.7 MiB/s;
1646396175007;1;1;1.0;1;store_sales;1604;18768280;11.2 MiB/s;
1646396175007;1;1;1.0;1;web_returns;42;487016;11.1 MiB/s;
1646396175007;1;1;1.0;1;web_sales;51;1057780;19.8 MiB/s;
1646399687440;1;1;1.0;1;ALL;2289;35030486;14.6 MiB/s;
1646399687440;1;1;1.0;1;customer;393;13171423;32.0 MiB/s;
1646399687440;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646399687440;1;1;1.0;1;store_returns;49;619692;12.1 MiB/s;
1646399687440;1;1;1.0;1;store_sales;1601;18768280;11.2 MiB/s;
1646399687440;1;1;1.0;1;web_returns;52;487016;8.9 MiB/s;
1646399687440;1;1;1.0;1;web_sales;51;1057780;19.8 MiB/s;
1646400016115;1;1;1.0;1;ALL;2366;35570505;14.3 MiB/s;
1646400016115;1;1;1.0;1;customer;408;13171423;30.8 MiB/s;
1646400016115;1;1;1.0;1;store;15;494;32.2 KiB/s;
1646400016115;1;1;1.0;1;store_returns;59;619692;10.0 MiB/s;
1646400016115;1;1;1.0;1;store_sales;1628;18768280;11.0 MiB/s;
1646400016115;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646400016115;1;1;1.0;1;web_sales;90;1597780;16.9 MiB/s;
1646400933276;1;1;1.0;1;ALL;2611;42519445;15.5 MiB/s;
1646400933276;1;1;1.0;1;customer;395;13171423;31.8 MiB/s;
1646400933276;1;1;1.0;1;store;14;494;34.5 KiB/s;
1646400933276;1;1;1.0;1;store_returns;58;619692;10.2 MiB/s;
1646400933276;1;1;1.0;1;store_sales;1628;18768280;11.0 MiB/s;
1646400933276;1;1;1.0;1;web_returns;43;487016;10.8 MiB/s;
1646400933276;1;1;1.0;1;web_sales;353;8546886;23.1 MiB/s;
1646401165110;1;1;1.0;1;ALL;2922;43113751;14.1 MiB/s;
