TimeStamp;NodeID;NodeCount;SF;WorkerCount;Table name;time in ms;size in byte;speed
1588314303866;1;1;140.0;1;ALL;264;18174915;65.7 MiB/s;
1588314397967;1;1;140.0;1;ALL;206;18174915;84.1 MiB/s;
1588320005806;1;1;1.0;1;ALL;43;128204;2.8 MiB/s;
1588320124979;1;1;82.0;1;ALL;233;10634044;43.5 MiB/s;
1588320377994;1;1;1.0;1;ALL;25210;1090797303;41.3 MiB/s;
1588320377994;1;1;1.0;1;websales_home_myshop;21123;1090797303;49.2 MiB/s;
1588321107071;1;1;1.0;1;ALL;11721;1090797303;88.8 MiB/s;
1588321107071;1;1;1.0;1;websales_home_myshop;4492;1090797303;231.6 MiB/s;
1588327119082;1;1;20.0;1;ALL;4769782;21812920283;4.4 MiB/s;
1588327119082;1;1;20.0;1;websales_home_myshop;4768639;21812920283;4.4 MiB/s;
1589512436952;1;1;100.0;1;ALL;630843;95376985075;144.2 MiB/s;
1589512436952;1;1;100.0;1;websales_home_myshop;630724;95376985075;144.2 MiB/s;
1589599771251;1;1;100.0;1;ALL;179530;4775399289;25.4 MiB/s;
1589599771251;1;1;100.0;1;websales_home_myshop_fact_table;179499;4775399289;25.4 MiB/s;
1589939021705;1;1;1.0;1;ALL;72;1138498;15.1 MiB/s;
1589939209243;1;1;1.0;1;ALL;20;789;38.5 KiB/s;
1589939264879;1;1;1.0;1;ALL;6857;1063122480;147.9 MiB/s;
1589939264879;1;1;1.0;1;test;6539;1063122480;155.1 MiB/s;
1589939323693;1;1;1.0;1;ALL;7708;1135506046;140.5 MiB/s;
1589939323693;1;1;1.0;1;test;7035;1135506046;153.9 MiB/s;
1589941815107;1;1;1024.0;1;ALL;2181472;58214714092;25.4 MiB/s;
1589941815107;1;1;1024.0;1;websales_home_myshop_fact_table;2181393;58214714092;25.5 MiB/s;
1591274643981;1;1;2.0;1;ALL;4739;113693755;22.9 MiB/s;
1591274643981;1;1;2.0;1;websales_home_myshop_fact_table_2g;4724;113693755;23.0 MiB/s;
1601062089724;1;1;102400.0;1;ALL;217640039;5821486442422;25.5 MiB/s;
1601062089724;1;1;102400.0;1;websales_home_myshop_fact_table_10t;217639814;5821486442422;25.5 MiB/s;
1601631790059;1;1;10240.0;1;ALL;21529852;582148735062;25.8 MiB/s;
1601631790059;1;1;10240.0;1;websales_home_myshop_fact_table_10t;21529671;582148735062;25.8 MiB/s;
1625897716484;1;1;1.0;1;ALL;34532;103215649;2.9 MiB/s;
1625897716484;1;1;1.0;1;websales_home_myshop_fact_table_10t;3052;103215649;32.3 MiB/s;
